1 29 3.0675687244120025 749.3166038243854 572.7816130309868 1121.7629216017351 886.1846325657083 1.615405797958374 2.2149407863616943 4.523248195648193 7.567417144775391 0.23202896118164062 -1.0498133897781372 0.04337195307016373 [795, 558] [1063, 559] [1062, 753] [794, 754] [688, 582] [1184, 584] [1181, 942] [687, 945]
1 31 3.561135107585489 1295.621238368625 605.1807609270977 1761.6524627123345 867.9457516944728 1.5186728079416651 2.104976970218756 4.569127957061207 7.193219901862389 -3.5896225612576296 -1.2028868421352992 0.04332774467752603 [1279, 589] [1540, 595] [1537, 786] [1275, 781] [1616, 626] [2116, 636] [2111, 1005] [1610, 1000]
1 32 2.6105911743940466 106.04916066265497 565.4276141128474 597.0228477615478 911.331214744116 1.712150123982994 2.1236619208025185 4.498645152128859 6.384314464723845 3.527841833089403 -1.0029890468536864 0.026179938779914938 [333, 554] [625, 556] [622, 790] [330, 790] [-316, 548] [289, 551] [282, 1036] [-327, 1037]
1 33 3.3420913606163216 1137.216822039955 567.7050228130425 1368.4398254873213 713.0916209054018 1.6760526650477003 2.125413731950142 4.6 13.772050910759637 -3.2149304654289805 -1.2444207715586773 0.02883320555422137 [1125, 562] [1282, 564] [1281, 689] [1124, 687] [1201, 567] [1421, 570] [1419, 744] [1199, 742]
1 34 2.8772419378682605 528.237150331653 557.8161721336978 771.870389042594 728.9326145551347 1.8499767886696075 2.1620488218201532 4.6 12.87226554784717 3.3640553329128906 -1.114081976582193 0.008726646259971648 [621, 547] [790, 548] [789, 693] [620, 692] [475, 541] [716, 543] [715, 750] [473, 749]
1 35 3.2748918915462175 1086.967475974827 570.5353078813455 1214.1092265524983 658.9560327971515 1.4998925364709235 2.1109863249074676 4.6 21.406016993377047 -3.2517543392043935 -1.522366057350155 0.01745661597526588 [1079, 571] [1185, 572] [1185, 647] [1079, 647] [1110, 574] [1241, 575] [1241, 668] [1109, 668]
1 36 2.958824220658549 716.0493470218169 573.1604389047417 841.8514456319301 658.0685233775362 1.4998925364709235 2.1109863249074676 4.6 21.893341083564547 3.5953522722476237 -1.5032514218503694 0.02 [740, 568] [844, 569] [843, 642] [739, 642] [691, 570] [819, 570] [819, 661] [691, 661]
1 37 3.1226090747178508 903.4428971752512 560.9950467716903 1012.7637414706886 642.3651332886254 1.6831032635108842 2.1620488218201532 4.501494793433892 22.947221964206047 0.23537636360730962 -1.4637163801673712 0.008726646259971648 [907, 561] [1009, 561] [1009, 641] [907, 641] [896, 561] [1020, 562] [1020, 659] [895, 658]
1 38 3.2472007339557503 1069.251322178333 566.6437844780344 1159.2406470532055 633.8111273295341 1.4998925364709235 2.1109863249074676 4.6 28.691042727214217 -3.3054463517077295 -1.657733726835624 0.00909452595634502 [1056, 567] [1138, 567] [1137, 625] [1056, 624] [1073, 568] [1168, 568] [1168, 636] [1073, 636]
1 40 3.211991031562128 1038.2075737587138 556.8474567415095 1107.433290856523 618.9462153643659 1.7329342938239063 2.1109863249074676 4.507259303405364 34.64899922997963 -3.040692854956725 -1.7649715076784487 0.017134394604045047 [1034, 560] [1102, 561] [1101, 617] [1033, 616] [1046, 560] [1123, 561] [1122, 625] [1044, 623]
1 41 2.999254559726711 774.8691822962246 556.9825542230386 863.0690831227707 621.5571537681499 1.7329342938239063 2.1109863249074676 4.507259303405364 29.886969326087748 3.7616354483660306 -1.6163236900356905 0.017134394604045047 [792, 558] [870, 559] [868, 623] [790, 622] [766, 557] [857, 559] [855, 634] [764, 632]
1 63 4.182762847042109 725.4064795478495 538.3918052994353 859.0322960154293 602.0468947255658 2.523079726898441 2.3200847263006397 5.41 46.39180195559483 7.006485861034711 -1.4644718874512954 -1.1910658906574694 [850, 534] [867, 534] [866, 599] [850, 595] [717, 533] [727, 534] [727, 601] [717, 598]
1 64 3.8742884821582324 425.33725477624586 555.2049427589174 531.2675011186836 595.3330083546712 1.5 2.1109863249074676 4.507259303405364 45.22493496458791 20.214753279392397 -1.712224028464038 -1.1530375453215294 [504, 553] [507, 553] [505, 593] [503, 591] [378, 551] [375, 551] [374, 592] [377, 590]
2 99 -0.2049738002443582 710.390540031179 546.4270354437085 738.0471131145662 613.5669003024035 1.8 0.8190117377790875 0.6220451915054483 31.677313928091657 6.634798360633097 -1.3008725837689592 3.140101542193701 [735, 543] [704, 543] [704, 611] [735, 611] [740, 543] [709, 543] [709, 610] [739, 610]
