1 29 3.2346088911643007 930.5598099850351 492.77614733755587 1022.4597317207495 567.5093367317286 1.6827452515588448 2.2149407863616943 4.523248195648193 27.502527928707142 -0.170537174543007 0.08425343327263389 -0.08681553524871717 [942, 484] [1030, 486] [1029, 553] [941, 551] [918, 493] [1022, 495] [1021, 574] [917, 572]
1 36 3.035893128027425 754.509078442309 511.70160367633395 877.1044546938423 593.6279575326232 1.4998925364709235 2.1109863249074676 4.6 23.542067933723125 2.996924180028041 -0.3100955406462357 -0.020920230977996085 [787, 501] [884, 502] [883, 571] [787, 570] [741, 511] [859, 513] [859, 597] [741, 595]
1 34 4.685028426588632 0 485.64991800693167 114.40323805769178 1080.0 1.8499767886696075 2.1620488218201532 4.6 -0.12915115421928347 3.5752128994713392 -0.8052365363165993 -0.008747790892104495 [-1480, 418] [-361, 464] [-376, 1449] [-1475, 1384]
1 41 3.135652774900618 904.2712424849697 467.9318653079757 957.602290050272 519.6862756070565 1.7329342938239063 2.1109863249074676 4.507259303405364 41.86535677340083 1.3553125790117233 1.3062137218460654 -0.0264219478012041 [908, 465] [965, 466] [964, 512] [908, 511] [897, 469] [961, 470] [960, 522] [897, 521]
1 85 5.259959711681226 0 526.1500133005113 71.77851739792344 704.6664124786323 1.7327142796684367 2.2005753338240392 4.503224263118411 6.422531210673978 9.775713192578936 -0.6621953132360651 -3.107891007748045 [-1408, 477] [-2046, 477] [-2005, 954] [-1376, 949] [-214, 488] [-519, 488] [-509, 722] [-206, 721]
1 86 -0.6234788800366343 132.69303991802875 516.4023606030038 320.80643902127406 615.4970299354771 1.697996486447091 2.2005753338240392 4.503224263118411 17.353470646789326 13.475027173919699 -0.4524046898326348 3.104822954852746 [-5, 498] [-169, 498] [-165, 630] [-2, 631] [227, 498] [99, 498] [102, 600] [230, 601]
1 87 -0.27711566918540376 523.9702386190914 499.8980960493826 642.3621615849524 569.2788568494025 1.5 2.2005753338240392 4.503224263118411 26.92148381560938 9.24439425331013 -0.05491048706480118 3.087940022005928 [572, 499] [469, 499] [471, 571] [573, 572] [643, 494] [555, 495] [557, 555] [644, 556]
1 88 -0.06740832264525462 769.6070251456172 473.70604173001993 828.8684847541006 518.9366699333302 1.7686399842870226 2.1109863249074676 4.6 43.13392730913418 6.771987522809288 1.3081299074183124 3.0532730762241576 [798, 469] [737, 470] [739, 522] [799, 521] [826, 466] [771, 467] [773, 513] [827, 512]
1 89 -0.1337593595127941 664.2665331470574 477.9619525873597 736.2353694873204 522.4983052968785 1.4966851721157868 2.1109863249074676 4.6 45.50505146005474 9.947367194894714 1.38720386417875 3.0601382450856147 [720, 473] [664, 474] [665, 515] [722, 514] [753, 470] [702, 471] [704, 509] [755, 508]
1 92 -0.06600562112405584 469.8221262082716 489.0691841905416 545.3480882125762 527.8032257614068 1.4966851721157868 2.1109863249074676 4.6 46.78422894552461 19.783086485272683 1.0627773246074685 2.8075433004244563 [448, 481] [403, 482] [405, 521] [449, 521] [531, 481] [489, 482] [490, 518] [532, 517]
